SITE_NUMBER	LATITUDE	LONGITUDE	ANPP	BIOME_TYPE	MANAGEMENT	ANNUAL_TEMPERATURE
314	-13.1094	-71.5997	276.673	F	N	11.8
315	-13.1083	-71.5892	425.628	F	N	13.5
316	-13.07333333	-71.55833333	303.057	F	N	17.4
317	-13.07111111	-71.555	313.788	F	N	18
318	42.660936	-80.559519	309	F	M	8.825
319	42.709778	-80.3574	457	F	M	8.825
320	42.706811	-80.348314	391	F	N	8.825
321	42.774419	-80.458775	654	F	N	8.825
322	45.59	-84.71	261	F	M	5.5
323	45.5598	-84.7138	359.384	F	N	5.5
324	9	-63	NA	F	N	25.9
325	50.2	11.88	554.133	F	M	5.5
326	35.9588	-84.2874	564.125	F	N	13.8
327	44.6	-123.22	651.046	F	N	11.2
328	-13.19	-71.5869	383.93	F	N	12.5
329	50.4535	11.4575	571.518	F	M	5.5
330	45.8059	-90.0799	319.14	F	M	4.8
331	45.8205	-121.9519	480.278	F	N	8.12
332	51.46	-1.32	421.772	F	N	10.1
333	21.9275	101.2653	791.84	F	N	21.7
334	-4	-69.9	599.56	F	N	25.5
335	34.8	-79.2	357	F	M	16.32
336	46.58	8.38	157.8	T	M	2.1
337	22.57	112.83	687.1929	F	M	21.7
338	22.57	112.83	2039.08962	F	M	21.7
339	10.43	-83.98	1213.7948	F	M	25.8
340	10.43	-83.98	1220.6595	F	N	25.8
341	10.43	-83.98	1571.15138	F	N	25.8
342	10.43	-83.98	991.47846	F	N	25.8
343	10.43	-83.98	1300.84174	F	N	25.8
344	38.1	-1.8	260.4	Sh	N	15.5
345	-16.0158	-62.7301	1130.52	F	N	23.4
346	-16.0158	-62.7301	810.68	F	N	23.4
347	-13.047	-71.542	670.16	F	N	17.4
348	-13.19	-71.597	536	F	N	13.1
349	26.1917	117.4333	763.9375273	F	N	19.1
350	26.1917	117.4333	1016.00375	F	M	19.1
351	-1.493	120.057	697.2	F	N	20.8
352	-1.493	120.057	876.2	F	M	24.4
353	-13.0765	-52.3858	866.84	F	N	25
354	-3.95	-73.43	1183.309	F	N	25.2
355	-3.95	-73.43	1094.72	F	N	25.2
356	-1.72	-51.5	760	F	N	26.9
357	-23.03	-48.63	1385.6185	F	M	19
358	22.08	-159.53	592.136287	F	N	16
359	19.94	-155.34	545.31303	F	N	16
360	19.41	-155.22	449.143059	F	N	16
361	19.41	-155.22	516.26646	F	M	16
362	45.05	142.1	514	F	N	5.8
363	60.3	7.68	332	T	N	-3
364	60.3	7.68	335	F	N	-3
365	49.693	-74.432	197	F	N	0
366	57.13	14.75	451.8	F	M	5.5
367	61	16.22	262.9	F	M	3.4
368	64.12	19.45	273.8	F	M	1.2
369	64.75	-148.25	90.5	F	N	-3.5
370	64.75	-148.25	93	F	N	-3.5
371	64.75	-148.25	61.5	F	N	-3.5
372	30.13	-79.86	652.32	F	N	15.6
373	30.13	-79.86	638.925	F	N	15.6
374	30.13	-79.86	821.005	F	N	15.6
375	25.56	91.87	805	F	N	16.8
376	39.45	-120.62	463.71	F	N	12
377	39.45	-120.62	363.506	F	M	12
378	30.08	79.75	665	F	N	10.86465753
379	30.48	80.25	547	F	N	-7.480821918
380	30.48	80.25	320.5	F	N	-7.480821918
381	48.6472	19.6033	1020.916	F	N	5.2
382	48.6472	19.6033	861.1015	F	N	5.2
383	46.35	11.27	816	F	M	11.6
384	35.45	138.77	541.906	F	N	9.7
385	52.75	10.5	558.5115	F	N	8
386	8.75	-82.25	732.67072	F	N	20
387	35.3	135.72	449.1187	F	N	10.5
388	35.3	135.72	307.6399	F	N	10.5
389	37.4606	-83.1586	933.648	F	N	13
390	37.4606	-83.1586	924.721	F	N	13
391	38.89525	-120.63275	NA	F	M	11.5
392	-2.5894	-60.1153	NA	F	N	23
393	60.09	17.48	NA	F	M	6
394	-4.73	12.02	524.125	F	M	25.7
395	-4.73	12.02	594.48	F	M	25.7
396	-4.73	12.02	752.355	F	M	25.7
397	-23.03	-48.63	686.765	F	M	19
398	-23.03	-48.63	763.43	F	M	19
